UID,Review_ID,Name,Rating,Text
1,1,Muhammad B.,5,"Unbelievable! phone is 100 percent original and value for money, don't know how seller managed to offer the phone in such a cheap price, moreover its officially PTA approved. seller deserves 10 stars"
1,2,Musadique S.,5,"Genuine samsung mobile, well packed, pta approved. I like it. Very beautiful mobile and hope it will be long lasting experience. #11.11"
1,3,S***.,5,"#11.11 Mobile without mobile warranty card, charger but seems good, packing was not good delivery is pathatic"
1,4,Musadique S.,5,"Genuine samsung mobile, well packed, pta approved. I like it. Very beautiful mobile and hope it will be long lasting experience. #11.11"
1,5,S***.,5,"#11.11 Mobile without mobile warranty card, charger but seems good, packing was not good delivery is pathatic"
1,6,0***4,5,"Bought 3 phones and all are new, sealed pack, non active and PTA Approved. No warranty card but Daraz official warranty claimed by seller. #1111"
2,1,Gohar I.,5,this is the initial review. the phone is the same as shown.good thing is that it is managed directly by Daraz. packaging was amazing. order came 1 day late only.
2,2,Yasir Q.,5,Daraz is very helpful😎😎I was not have enough money to buy this range mobile so i buy on installment from daraz😍😍😍 Mobile ki look boht achi hy or is range mai best hy😁Thanks daraz and seller🤓
2,3,3***4,3,"Camera satisfactory nh ha, Baki mobile ok ha"
2,4,Yasir Q.,5,Daraz is very helpful😎😎I was not have enough money to buy this range mobile so i buy on installment from daraz😍😍😍 Mobile ki look boht achi hy or is range mai best hy😁Thanks daraz and seller🤓
2,5,3***9,5,very good price comparison to Infinix note 30 pro which black market launch price 61k whereas selling it on 95k
2,6,Waseem A.,5,Product is good. well packed and everything included. Orignal product. Satisfied with the service. Delivery was on time.
3,1,Snake E.,5,"I got what was shown, but I want to tell about the seller that my chat was not responded even after a couple of days, so please make your availability there so that the customer can place the order with full sitesify. Because the amount matters But my goal was to buy the product from there, so I took what I have and it is 💯 %authentic, and the warranty has not started yet, But the handsfree did not come out of the box, maybe not provided by the company. So the Overall experience was great and the seller is highly recommended. Thanks Daraz & Seller.🥰"
3,2,israr A.,5,Great Experience as usual and I have purchased many mobiles from DARAZ but this time get maximum discount in 11/11 Sales on Note 30 pro
3,3,basit 7.,4,Asalam o alikum so nice Mob bht acha hai 👌same as show i’m satisfied to daraz thanks daraz and delivery time also good
3,4,Usama S.,5,"Acha mobile hai and same cheez delivered ki hai with fast delivery service, satisfied with daraz and seller, i bought many mobiles from daraz aj tak koi b mobile kharab nhe nikla, thanks daraz for maintenance of trust with customers. love from Rawalpindi"
3,5,Amir B.,5,Allahamdolilah received📩 mobile is original and new as mentioned recommended for buying. same thing which is ordered rather late delivered
3,6,Mrs A.,5,Nice Mobile at this price with special specs. Delivered late but overall services by daraz are good.. Thanks
4,1,3***8,5,Alhamdulillah same recieved as shown in picture. Same specifications A1 condition and fast delivery. Thanks Daraz. i recmond it and i order one more.
4,2,3***1,4,achhi packing but charging adapter was normal no handsfree no protector no mobile cover baqi use kr ke pta chalay ga dekhnay nice hai
4,3,Haseeb A.,3,mobile is just go0d. average in use.. bettery timing is go0d.. camera is just average. overall ghar use k lia thek hai jaha bs call waghaira k lia instmal hota ho
4,4,Amjad H.,5,"I upgraded my stand by phone from A1+ to A2+. I received this phone in great packaging. Delivery was fast. Phone seems a little better than A1+. I wish it would have Type C charging. I'm surprised to see the camera quality, display and battery timing of this phone. A perfect phone in this range with very few compromises. Highly recommended."
4,5,Umer S.,5,"Assalamu Alaikum, Thank God & Thanks Daraz Team & Wander/seller (XIAOMI). Good Packing & Short Delivery time. Original Product 100%. Recommended. Khushe hai ke AAZADI SALE mai itny Best Price main Redmi A2+ Offer kiya gya, Thanks Daraz app."
4,6,Malik S.,5,"I recently ordered a phone , and I must say it was a convenient experience. The website had a user-friendly interface, making it easy to browse and compare options. Placing the order was straightforward, and they provided clear shipping information. The phone arrived in good condition and on time. Overall, a hassle-free online phone shopping experience."
5,1,Habib R.,5,#11.11 PTA approved device received safely. Mobile battery was low and required charging before getting on.
5,2,ChefMisbah,5,everything is perfect colour b same aya..😇 I am so happy thanks Daraz ..❤ highly recommended... 👌👍
5,3,junaid K.,5,#11.11 sale main good mobile mil gaya hy market sy bhi sasta same as shown in the picture 😺 reviews dekh ky tu dar gaya tha but ❤️ genuine product hy pin pack pta approved and non active
5,4,Shakir,5,"I get the mobile its pta approved but made of Vietnam also its doesn't have charger that's the negative point , get the mobile on discounted rate in #11.11 . hopefully it will work for a long time 😃"
5,5,zeeshan K.,5,"phone was brand new, box packed, came in secure packaging,can't see the PTA sticker,, but seller said it is approved,, so i believe seller words😊."
5,6,Tariq A.,5,Got this in just Rs.26419 while market price is still Rs.30000. Thanks to Daraz 11.11 Exactly same as described. delivered in just 2 days. its my 4th cell phone purchase from Daraz. Amazing experience as always
6,1,Faisal B.,5,"Very reasonable price, home delivery on the scheduled date, excellent packaging, unopened sealed phone box, approved from PTA, thank you daraz."
6,2,Hussain,5,So far it's good. Seems good. I'll update my review after checking thoroughly. By the way it's genuine product.
6,3,Farhan K.,5,100% genuine phone. Timely delivered. Satisfied with my order from daraz.pk highly recommended
6,4,Hussain,5,So far it's good. Seems good. I'll update my review after checking thoroughly. By the way it's genuine product.
6,5,Akram,5,Very reasonable price. Very nice mobile. Delivery was in time. Parking was very good
6,6,Farhan K.,5,100% genuine phone. Timely delivered. Satisfied with my order from daraz.pk highly recommended
7,1,Asif B.,1,"phone is damaged from edges, pictures uploaded"
7,2,M F.,5,Same As Described original product found in reasonable price than Market
7,3,Bilal B.,1,Seller is fraud. He is sending Redmi 12C instead of Redmi Note 12. DARAZ.PK should take action on this. In last 1 week multiple reviews came from buyers as they have received wrong product. Fortunately i have recorded video while opening my parcel. I have attached video evidence. I hope Daraz.pk will take immediate action and compensate the buyers on priority. I will never order from this store again.
7,4,Mirza M.,5,Genuine product as shown. Most reasonable price on Daraz even any mobile market.
7,5,Saif U.,5,#11.11 Good and Pin Packed Mobile Thanks seller and daraz No any Fault
7,6,3***6,5,#11.11 Ordered grey colour but received green. Green is also a very good colour. Product is very good. The price is also very reasonable as compared to the market.
8,1,abdul S.,5,پن پیک فون ہے۔ جو لوگ کہتے ہیں کہ ڈبے میں کچھ چیزیں کم ہیں ۔ تو شائد اس کی وجہ یہ ہے کہ یہ ماڈل چائنہ اسمبل ہے ۔ باقی اللہ بہتر جانتا ہے۔
8,2,Iqbal S.,5,"It's 128 gb variant not available in Pakistan but the seller has amazingly provided it. The product is genuine, received well packed and timely deievered. Thanks to seller and daraz..."
8,3,3***2,5,#11.11 To cut the long story short: all is well and of fine quality.... really satisfied with each and every single thing.. #11.11
8,4,Iqbal S.,5,"It's 128 gb variant not available in Pakistan but the seller has amazingly provided it. The product is genuine, received well packed and timely deievered. Thanks to seller and daraz..."
8,5,Nizam U.,5,mobile is pta aproved. moible is very good. this mobile was only available on daraz. in market it is not available .the crated goes to daraz. i bought it on 38919 rupess. 8 128 i hope it is a good price
8,6,3***2,5,#11.11 To cut the long story short: all is well and of fine quality.... really satisfied with each and every single thing.. #11.11
9,1,Muhammad Z.,5,Excellent 👍 Pin pack device with mega discount in #11.11 #11.11 seller is honest Daraz has become a life patner. Thanks Daraz. Thanks Tecno Pakistan.
9,2,A***.,5,"Mobil is little bit slow, camera result average. Seller is not cooperating but product received is well packed and as per mentioned specifications"
9,3,aamir B.,5,"Tecno Spark 10 Pro 💯% original mobile, PTA approved, sealed pack, box pack, with all accessories. thank and love u daraz and seller 🥰🌹👍"
9,4,A***.,5,"Mobil is little bit slow, camera result average. Seller is not cooperating but product received is well packed and as per mentioned specifications"
9,5,3***1,5,"at least i recieved my phone its awesome phone features also best, camera 💯 , battery life too good, smart and weight less phone 💯 recommended"
9,6,Tabraiz A.,5,After using for few days i found this phone very recommended under such price
10,1,Mohammad N.,5,very very beautiful mobile ..i very happy.. price b okk.thanks daraz and seller ..thanku
10,2,Syed I.,5,"#11.11 Wow! What a great mobile. The real thing is that seal pack, original, PTA approved, Under Warranty and all the accessory was included. Really appreciated to honest seller. This was my 1st time order of mobile phone and I was frightened but on receipt of mobile I joy and very very happy to see mobile. specifications are also same as describing.. Thanks seller and DARAZ"
10,3,Yasir M.,5,Awesome mobile recieved on time very fast processor lovely color seller are very cooperative totally satisfied 👌👍
10,4,Mohammad N.,5,very very beautiful mobile ..i very happy.. price b okk.thanks daraz and seller ..thanku
10,5,faisal I.,5,it's fantastic very beautiful mobile and seller is very honest
10,6,Tayyab A.,5,mara purana phone ka camera ka result harab ha lakin jasi cheez dikhi wasi hi mili jasi products dikhayi wasi hi ayi NYC bro Thanks Daraz and seller
11,1,Hamza,5,"original set and PTA approved set hai. boht hi aala mobile hai, mat forest green color hai. actual price of mobile was Rs.45000 but I ordered during daraz #11.11 sale and I got in Rs.42000 by availing two discount vouchers. daraz ny mobile buy karny ki bhi tension dur kar di hai, ghar bethy original mobile wo bhi market sey low price mein. Thanks daraz.pk"
11,2,Raza A.,5,#11.11 jitni tareef kru utni kam hy mashallah AJ tak ka sab se behtareen or aala qism ka mobile hy Meri review hy 10/10 mashallah so happy 😊😊
11,3,Barkat A.,4,"Product quality is amazing and reached safe at doorstep. Seller is really cooperative and friendly in communication. Recieved product as it is reflected on Daraz. Original product. 100% Gebuin. However, around Rs.2000 costly than physical market. Prices should be aligned to the market rate to eradicate price manipulation. Overall, satisfied with product quality but not satisfied with delivery and product price."
11,4,Qaisar C.,5,"delivery little bit late, but all ok pta approved 1 year warranty non active phone"
11,5,Muhammad A.,5,I'm not happy with such a phatic service by daraz. if you can't bear workload don't put silly ideas like 11.11
11,6,Mqasim L.,5,#11.11 original mobile and also reasonable price thank daraz and seller
12,1,faheem,5,very fast delivery and origional sealed pack mobile I am satisfied
12,2,Khurram J.,5,سام سنگ 2023 کی بہترین پروڈکٹ ہے بہترین ڈسکاؤنٹ شکریہ
12,3,Malik S.,1,"not recommended, not a good set, camera not good,touch very poor, performance also poor, charger not included in box. be careful"
12,4,Malik R.,5,Allhamdullilah 🥰 Very Good mobile recieved on time good features but only concern is warranty because seller is not properly guiding about that
12,5,Khurram J.,5,سام سنگ 2023 کی بہترین پروڈکٹ ہے بہترین ڈسکاؤنٹ شکریہ
12,6,V***.,5,Very nice mobile with fast delivery by daraz
13,1,Asim A.,1,Mobile was repacked there was no company seal when i confirmed from MI service center they confirm that mobile was Repacked and was Activated 11 days before purchasing date and this shop owner have Assured me and other customers that mobile is not repacked and you will activate for the first time they lied and they are selling the product at increased price from official price but we have comprised on price that they will give us seal pack product but they scammed us and given us a repacked product which was activated before Purchasing.
13,2,Faisal K.,5,Nice mobile delivery in time thanks for seller
13,3,3***6,5,thank you draz and thank you seller bohat Acha mobile Hy or same colour Jo order Kia tha bohat Acha seller Hy over all very nice and good experience
13,4,Asif M.,5,delivered phone same as shown in picture
13,5,Namaloom F.,5,product delivered with in the time period given. thanks daraz and seller for keeping our trust.
13,6,Arslan A.,5,"First experience for buying mobile phone from Daraz, good Mobile Phone with reasonable price, Seller is very cooperative. Recommended Seller 👍"
14,1,Nasir,5,"Original Product, Packing for logistics was excellent. Delivered on first promised day( took 4 days to deliver a standard time. price slight higher than company declared price and market price but it's ok in case of 0%installments"
14,2,3***1,5,"Thanks to the seller for the phone the same as I ordered, the same color keeps your trust to people but guarantee card is Missing I ordered one more same mobile with an other number"
14,3,Atif S.,5,received my package today good looking mobile in this price tag.
14,4,Abdul R.,5,"Received just in one day, Looks good. 👍"
14,5,Aliyan M.,5,very nice and good mobile in this price range and its my first experience very good experience
14,6,Muhammad H.,5,"Honest Seller, the product was same as shown. delivery little bit late but the seller 100% Recommend."
15,1,Muhammad K.,5,"It was an absolutely amazing experience. ordered on the 17th-October night and got it around 01-pm afternoon on 18th-October in less than 12 hours. As far as the product is concerned, Samsung is always a great experience as I have been a user of it since the beginning of the Android era back in 2010. Thanks, Daraz and seller, for extreme level service. Daraz is a highly recommended e-commerce platform of Pakistan from 2016 to till date, never disappointed me with services."
15,2,Umar,5,Perfect packing timely delivery original product 100% Authentic excellent experience Highly recommended for those who afraid to buy costly items online . thanx seller n Daraz.
15,3,khan K.,5,Excellent 👌
15,4,Amdad S.,5,Genuine Product ❤️❤️❤️ Thanks Seller 😊🤩🤩 Thanks Daraz 👍👍
15,5,3***8,5,Awesome mobile excellent service by
15,6,Muhammad A.,5,ماشاءاللہ جس رنگ میں آرڈر کیا تھا وہی ملا ہے اور موبائل ڈبہ پیک تھا جو اپنے ہاتھ سے کھولا اور آج سے ہی وارنٹی شروع ہوئی، ڈیلیور بھی وقت سے پہلے ہوا۔شکریہ سیلر
16,1,Abdul S.,5,1 . Look & Design: Phone is awesome in look very beautiful design. Feels like premium flagship 2. Performance : Satisfactory 3. Battery : Awesome 4. Front Camera Average 5. Back Camera : Good but not excellent 6. Over all : Value for money. Recommended this item.
16,2,3***8,5,بہت ہی اچھا موبائل ہے اور بہت پیاری پیکنگ ہے بیسٹ کوالٹی کا موبائل ہے اور بہت ہی کام قیمت میں
16,3,M J.,5,I like the product its non active device and nicely company packed. I Always order from your store. 👍 thanks i received samecolor as i want
16,4,M J.,5,I like the product its non active device and nicely company packed. I Always order from your store. 👍 thanks i received samecolor as i want
16,5,3***8,5,بہت ہی اچھا موبائل ہے اور بہت پیاری پیکنگ ہے بیسٹ کوالٹی کا موبائل ہے اور بہت ہی کام قیمت میں
